cardType;creditCardNumber;creditCardMonth;creditCardYear;nameOnCard
american express;378282246310005;12;2025;FERNANDA COSTA
american express;378282246310005;04;2024;JULIA COSTA
mastercard;5555555555554444;12;2026;JOÃO FERREIRA
visa;4222222222222;10;2024;PEDRO SOUZA
visa;4111111111111111;12;2028;JOÃO SILVA
american express;371449635398431;04;2028;LUCAS SILVA
mastercard;5431111111111111;12;2026;JOÃO COSTA
mastercard;5431111111111111;06;2028;PATRICIA SANTOS
american express;378282246310005;01;2025;CARLOS OLIVEIRA
visa;4222222222222;02;2025;LUCAS SOUZA
visa;4012888888881881;02;2028;ROBERTO SILVA
american express;378282246310005;06;2027;MARIA PEREIRA
mastercard;5431111111111111;08;2028;FERNANDA FERREIRA
american express;371449635398431;04;2025;FERNANDA SANTOS
visa;4222222222222;01;2028;PEDRO PEREIRA
mastercard;5105105105105100;02;2028;JOÃO COSTA
visa;4012888888881881;08;2027;JOÃO SANTOS
mastercard;5105105105105100;05;2024;FERNANDA SOUZA
visa;4222222222222;09;2026;CARLOS SANTOS
american express;371449635398431;11;2027;MARIA SANTOS
american express;371449635398431;02;2026;PATRICIA SILVA
visa;4222222222222;01;2024;CARLOS SOUZA
visa;4222222222222;09;2025;ANA FERREIRA
american express;371449635398431;01;2024;CARLOS COSTA
american express;371449635398431;02;2025;CARLOS FERREIRA
american express;378734493671000;06;2025;PATRICIA LIMA
visa;4111111111111111;06;2025;MARIA COSTA
mastercard;5431111111111111;05;2027;LUCAS SANTOS
mastercard;5431111111111111;07;2028;ROBERTO SOUZA
american express;378282246310005;03;2028;CARLOS COSTA
american express;378282246310005;04;2025;PATRICIA OLIVEIRA
mastercard;5431111111111111;04;2025;JOÃO COSTA
mastercard;5105105105105100;08;2026;ANA SOUZA
visa;4111111111111111;11;2026;JOÃO FERREIRA
mastercard;5105105105105100;01;2024;PEDRO PEREIRA
visa;4222222222222;08;2026;FERNANDA COSTA
visa;4222222222222;09;2024;CARLOS SANTOS
mastercard;5555555555554444;06;2027;ROBERTO PEREIRA
american express;371449635398431;06;2028;ANA PEREIRA
visa;4222222222222;01;2027;PATRICIA SILVA
american express;378282246310005;11;2027;LUCAS COSTA
mastercard;5431111111111111;01;2024;JULIA SANTOS
mastercard;5431111111111111;08;2028;ANA OLIVEIRA
visa;4111111111111111;06;2025;FERNANDA SANTOS
american express;378734493671000;05;2024;ANA PEREIRA
visa;4222222222222;01;2026;ANA PEREIRA
visa;4012888888881881;04;2028;MARIA OLIVEIRA
mastercard;5431111111111111;06;2028;PATRICIA SILVA
american express;371449635398431;09;2025;CARLOS SANTOS
mastercard;5105105105105100;03;2027;CARLOS LIMA
visa;4111111111111111;10;2024;JOÃO SOUZA
american express;371449635398431;06;2027;MARIA SILVA
american express;371449635398431;12;2028;JOÃO SOUZA
mastercard;5555555555554444;06;2028;FERNANDA FERREIRA
visa;4111111111111111;04;2026;ANA PEREIRA
visa;4012888888881881;12;2026;ROBERTO SILVA
american express;378282246310005;12;2026;ANA SILVA
visa;4222222222222;11;2026;JULIA SILVA
american express;378282246310005;05;2025;ANA SILVA
visa;4012888888881881;02;2026;JULIA SANTOS
mastercard;5555555555554444;12;2025;PATRICIA OLIVEIRA
visa;4222222222222;01;2026;FERNANDA SANTOS
mastercard;5105105105105100;05;2027;PEDRO COSTA
mastercard;5105105105105100;05;2025;ROBERTO PEREIRA
visa;4012888888881881;12;2026;PATRICIA COSTA
mastercard;5431111111111111;08;2026;PEDRO SANTOS
visa;4222222222222;06;2028;ROBERTO COSTA
american express;378282246310005;12;2026;ANA LIMA
visa;4111111111111111;10;2028;LUCAS SILVA
american express;378282246310005;02;2028;CARLOS FERREIRA
american express;378734493671000;02;2025;JOÃO LIMA
american express;378734493671000;05;2024;JOÃO LIMA
mastercard;5105105105105100;08;2024;JOÃO SANTOS
american express;378734493671000;06;2024;PEDRO SANTOS
mastercard;5431111111111111;10;2028;LUCAS SANTOS
mastercard;5105105105105100;11;2026;JOÃO PEREIRA
american express;371449635398431;10;2026;LUCAS COSTA
visa;4222222222222;07;2028;JULIA OLIVEIRA
visa;4222222222222;09;2024;ANA SOUZA
american express;371449635398431;12;2027;JULIA LIMA
american express;378282246310005;01;2025;ROBERTO SANTOS
mastercard;5431111111111111;12;2027;JOÃO PEREIRA
mastercard;5105105105105100;03;2025;PEDRO LIMA
mastercard;5555555555554444;10;2025;JOÃO LIMA
american express;378734493671000;02;2028;PEDRO SILVA
american express;378282246310005;02;2026;CARLOS COSTA
american express;378282246310005;04;2026;JOÃO SANTOS
mastercard;5431111111111111;11;2027;PEDRO SILVA
american express;378282246310005;05;2026;ANA COSTA
american express;378282246310005;12;2026;JULIA OLIVEIRA
mastercard;5555555555554444;09;2024;ROBERTO SOUZA
mastercard;5555555555554444;07;2025;PEDRO LIMA
mastercard;5555555555554444;11;2026;MARIA OLIVEIRA
visa;4222222222222;01;2025;JULIA COSTA
american express;378282246310005;12;2025;JOÃO SILVA
american express;371449635398431;12;2027;ROBERTO COSTA
american express;371449635398431;09;2025;CARLOS SANTOS
mastercard;5555555555554444;01;2027;CARLOS SILVA
american express;371449635398431;11;2024;PATRICIA SOUZA
visa;4012888888881881;12;2028;LUCAS SILVA
